year,event,code,title,categories,hardware_hints,source,source_path,source_url
2013,national,F,红外光通信装置,communications-network;sensing-vision-ai,rf-front-end,nuedc-topic,2013/F_红外光通信装置.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/F_%E7%BA%A2%E5%A4%96%E5%85%89%E9%80%9A%E4%BF%A1%E8%A3%85%E7%BD%AE.pdf
2013,national,G,手写绘图板,integrated-system,general-embedded,nuedc-topic,2013/G_手写绘图板.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/G_%E6%89%8B%E5%86%99%E7%BB%98%E5%9B%BE%E6%9D%BF.pdf
2013,national,J,电磁控制运动装置,control-robotics,general-embedded,nuedc-topic,2013/J_电磁控制运动装置.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/J_%E7%94%B5%E7%A3%81%E6%8E%A7%E5%88%B6%E8%BF%90%E5%8A%A8%E8%A3%85%E7%BD%AE.pdf
2013,national,K,简易照明线路探测仪,instrumentation;biomedical-environmental,general-embedded,nuedc-topic,2013/K_简易照明线路探测仪.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/K_%E7%AE%80%E6%98%93%E7%85%A7%E6%98%8E%E7%BA%BF%E8%B7%AF%E6%8E%A2%E6%B5%8B%E4%BB%AA.pdf
2013,national,L,直流稳压电源及漏电保护装置,power-electronics,power-stage,nuedc-topic,2013/L_直流稳压电源及漏电保护装置.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/L_%E7%9B%B4%E6%B5%81%E7%A8%B3%E5%8E%8B%E7%94%B5%E6%BA%90%E5%8F%8A%E6%BC%8F%E7%94%B5%E4%BF%9D%E6%8A%A4%E8%A3%85%E7%BD%AE.pdf
2014,national,A,四旋翼飞行器,control-robotics,motor-drive;mechanical-system,nuedc-topic,2014/A_四旋翼飞行器.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/A_%E5%9B%9B%E6%97%8B%E7%BF%BC%E9%A3%9E%E8%A1%8C%E5%99%A8.doc
2014,national,B,金属物体探测定位器,communications-network,general-embedded,nuedc-topic,2014/B_金属物体探测定位器.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/B_%E9%87%91%E5%B1%9E%E7%89%A9%E4%BD%93%E6%8E%A2%E6%B5%8B%E5%AE%9A%E4%BD%8D%E5%99%A8.doc
2014,national,C,锁定放大器,analog-rf,general-embedded,nuedc-topic,2014/C_锁定放大器.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/C_%E9%94%81%E5%AE%9A%E6%94%BE%E5%A4%A7%E5%99%A8.doc
2014,national,D,音频功率放大器及啸叫抑制设计,power-electronics;analog-rf,audio-chain,nuedc-topic,2014/D_音频功率放大器及啸叫抑制设计.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/D_%E9%9F%B3%E9%A2%91%E5%8A%9F%E7%8E%87%E6%94%BE%E5%A4%A7%E5%99%A8%E5%8F%8A%E5%95%B8%E5%8F%AB%E6%8A%91%E5%88%B6%E8%AE%BE%E8%AE%A1.doc
2014,national,E,∑-Δ型ADC转换电路设计,digital-systems-fpga,general-embedded,nuedc-topic,2014/E_∑-Δ型ADC转换电路设计.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/E_%E2%88%91-%CE%94%E5%9E%8BADC%E8%BD%AC%E6%8D%A2%E7%94%B5%E8%B7%AF%E8%AE%BE%E8%AE%A1.doc
2014,national,F,电能无线传输装置,power-electronics;communications-network,rf-front-end,nuedc-topic,2014/F_电能无线传输装置.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/F_%E7%94%B5%E8%83%BD%E6%97%A0%E7%BA%BF%E4%BC%A0%E8%BE%93%E8%A3%85%E7%BD%AE.doc
2014,national,G,风洞控制系统- 高职,control-robotics,general-embedded,nuedc-topic,2014/G_风洞控制系统- 高职.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/G_%E9%A3%8E%E6%B4%9E%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F-%20%E9%AB%98%E8%81%8C.doc
2014,national,H,自动增益控制放大器- 高职,analog-rf;control-robotics,general-embedded,nuedc-topic,2014/H_自动增益控制放大器- 高职.doc,https://github.com/CCBP/NUEDC_Topic/blob/main/2014/H_%E8%87%AA%E5%8A%A8%E5%A2%9E%E7%9B%8A%E6%8E%A7%E5%88%B6%E6%94%BE%E5%A4%A7%E5%99%A8-%20%E9%AB%98%E8%81%8C.doc
2015,national,A,双向DC-DC变换器,power-electronics,power-stage,nuedc-topic,2015/A_双向DC-DC变换器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/A_%E5%8F%8C%E5%90%91DC-DC%E5%8F%98%E6%8D%A2%E5%99%A8.pdf
2015,national,B,风力摆控制系统,control-robotics,motor-drive;mechanical-system,nuedc-topic,2015/B_风力摆控制系统.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/B_%E9%A3%8E%E5%8A%9B%E6%91%86%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F.pdf
2015,national,C,多旋翼自主飞行器,control-robotics,motor-drive;mechanical-system,nuedc-topic,2015/C_多旋翼自主飞行器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/C_%E5%A4%9A%E6%97%8B%E7%BF%BC%E8%87%AA%E4%B8%BB%E9%A3%9E%E8%A1%8C%E5%99%A8.pdf
2015,national,D,增益可控射频放大器,analog-rf,high-speed-sampling;rf-front-end,nuedc-topic,2015/D_增益可控射频放大器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/D_%E5%A2%9E%E7%9B%8A%E5%8F%AF%E6%8E%A7%E5%B0%84%E9%A2%91%E6%94%BE%E5%A4%A7%E5%99%A8.pdf
2015,national,E,80MHz-100MHz频谱仪,analog-rf,high-speed-sampling,nuedc-topic,2015/E_80MHz-100MHz频谱仪.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/E_80MHz-100MHz%E9%A2%91%E8%B0%B1%E4%BB%AA.pdf
2015,national,F,数字频率计,instrumentation,general-embedded,nuedc-topic,2015/F_数字频率计.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/F_%E6%95%B0%E5%AD%97%E9%A2%91%E7%8E%87%E8%AE%A1.pdf
2015,national,G,短距视频信号无线通信网络,communications-network,rf-front-end;network-phy,nuedc-topic,2015/G_短距视频信号无线通信网络.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/G_%E7%9F%AD%E8%B7%9D%E8%A7%86%E9%A2%91%E4%BF%A1%E5%8F%B7%E6%97%A0%E7%BA%BF%E9%80%9A%E4%BF%A1%E7%BD%91%E7%BB%9C.pdf
2015,national,H,LED闪光灯电源,power-electronics,power-stage,nuedc-topic,2015/H_LED闪光灯电源.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/H_LED%E9%97%AA%E5%85%89%E7%81%AF%E7%94%B5%E6%BA%90.pdf
2015,national,I,风板控制装置,control-robotics,general-embedded,nuedc-topic,2015/I_风板控制装置.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/I_%E9%A3%8E%E6%9D%BF%E6%8E%A7%E5%88%B6%E8%A3%85%E7%BD%AE.pdf
2015,national,J,小球滚动控制系统,control-robotics,general-embedded,nuedc-topic,2015/J_小球滚动控制系统.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2015/J_%E5%B0%8F%E7%90%83%E6%BB%9A%E5%8A%A8%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F.pdf
2016,national,A,降压型直流开关稳压电源,power-electronics,power-stage,nuedc-topic,2016/A_降压型直流开关稳压电源.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2016/A_%E9%99%8D%E5%8E%8B%E5%9E%8B%E7%9B%B4%E6%B5%81%E5%BC%80%E5%85%B3%E7%A8%B3%E5%8E%8B%E7%94%B5%E6%BA%90.pdf
2016,national,B,物品分拣搬送装置,control-robotics,motor-drive;mechanical-system,nuedc-topic,2016/B_物品分拣搬送装置.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2016/B_%E7%89%A9%E5%93%81%E5%88%86%E6%8B%A3%E6%90%AC%E9%80%81%E8%A3%85%E7%BD%AE.pdf
2016,national,C,自动循迹小车,control-robotics,motor-drive;mechanical-system,nuedc-topic,2016/C_自动循迹小车.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2016/C_%E8%87%AA%E5%8A%A8%E5%BE%AA%E8%BF%B9%E5%B0%8F%E8%BD%A6.pdf
2016,national,D,简易电子秤,instrumentation,precision-analog,nuedc-topic,2016/D_简易电子秤.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2016/D_%E7%AE%80%E6%98%93%E7%94%B5%E5%AD%90%E7%A7%A4.pdf
2016,national,E,脉冲信号参数测量仪,instrumentation,precision-analog,nuedc-topic,2016/E_脉冲信号参数测量仪.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2016/E_%E8%84%89%E5%86%B2%E4%BF%A1%E5%8F%B7%E5%8F%82%E6%95%B0%E6%B5%8B%E9%87%8F%E4%BB%AA.pdf
2016,national,F,位同步时钟提取电路,communications-network,general-embedded,nuedc-topic,2016/F_位同步时钟提取电路.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2016/F_%E4%BD%8D%E5%90%8C%E6%AD%A5%E6%97%B6%E9%92%9F%E6%8F%90%E5%8F%96%E7%94%B5%E8%B7%AF.pdf
2016,national,G,简易电子秤,instrumentation,precision-analog,nuedc-topic,2016/G_简易电子秤.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2016/G_%E7%AE%80%E6%98%93%E7%94%B5%E5%AD%90%E7%A7%A4.pdf
